RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020
102001,0,United States,Country,,107630,107657,107707,107834,107977,108147,108315,108528,108744,109002,109254,109527,109713,109947,110200,110528,110859,111171,111507,111805,112120,112401,112755,113145,113723,114257,114770,115116,115491,115875,116289,116756,117283,117848,118332,118764,119135,119614,120144,120771,121370,122049,122741,123370,123935,124495,125166,125869,126598,127319,128046,128787,129529,130248,130966,131728,132529,133337,134164,135022,135871,136661,137443,138238,139040,139816,140574,141343,142118,142906,143665,144409,145152,145929,146722,147513,148316,149161,150048,150956,151856,152783,153743,154736,155712,156674,157618,158568,159525,160457,161399,162401,163495,164641,165786,166927,168138,169453,170852,172256,173742,175299,176950,178573,180190,181790,183412,185109,186852,188599,190315,192113,193929,195824,197739,199678,201613,203441,205190,206767,208176,209455,210700,211880,212967,213869,214571,215097,215417,215647,215791,215874,215940,215956,215917,215784,215468,215005,214383,213785,213074,212277,211292,210257,209049,207608,205979,204218,202500,200764,199041,197178,195395,193600,191752,189837,187976,186415,184912,183448,182014,180785,179835,179042,178362,177831,177613,177514,177450,177250,177101,177065,176985,176700,176009,175183,174229,173292,172249,171271,170296,169373,168402,167364,166328,165431,164812,164361,164026,163658,163333,163015,162805,162675,162749,162986,163377,163793,164260,164783,165384,166082,166884,167761,168741,169774,170912,172096,173345,174650,175990,177334,178636,179869,180980,182009,182970,183897,184631,185235,185779,186382,186974,187490,187996,188588,189308,190064,190789,191534,192402,193303,194215,195026,195830,196688,197578,198446,199233,200100,201045,202014,202872,203766,204674,205660,206667,207687,208713,209748,210856,211939,213003,214043,215160,216324,217484,218647,219761,220896,222072,223311,224584,225843,227052,228302,229559,230838,232130,233376,234530,235509,236354,237170,238001,238866,239721,240488,241163,241832,242705,243691,244580,245202,245680,246261,246930,247737,248625,249639,250802,252042,253216,254423,255872,257736,259906
394913,1,"New York, NY",Msa,NY,187842,187403,187125,186592,186274,185984,185806,185714,185759,185882,186007,186153,186427,187036,187752,188422,188919,189541,190163,190784,191299,191808,192528,193350,194249,194850,195319,195738,196272,196851,197422,198220,199217,200438,201524,202671,203622,204796,206044,207647,209392,211227,213298,215125,216921,218515,220353,222256,224307,226538,228944,231337,233632,235934,238286,240664,243053,245426,247848,250220,252582,255054,257483,260028,262507,265038,267414,269813,272270,275047,277831,280616,283437,286121,288698,291298,294023,297004,300100,303770,307666,311574,315309,319203,323073,327051,331224,335197,339048,342630,346278,349636,352683,355577,358643,361804,365375,368934,372653,376181,380112,384234,388762,393272,398010,402781,407610,412143,416500,420638,424798,429590,434438,439233,443693,448336,453182,458168,462816,467432,471363,475124,477741,479961,481695,483617,484944,485328,484890,483510,481984,480217,478629,477303,477044,476464,476014,474325,472673,470980,469244,468102,466805,465359,463927,462069,459582,456939,453316,450202,446868,444117,441172,437836,434294,430881,427033,423196,419570,416142,413528,410668,408160,405503,403720,402597,402134,401903,401822,401886,401417,401206,400767,401180,401444,401567,400958,399751,398188,396302,394919,393637,392884,391471,389927,387748,385878,384205,382784,381481,380026,378807,377443,376105,374833,373905,373364,373174,373002,372913,372880,372983,373491,374215,374930,375813,376724,378162,379734,381349,383078,384807,386674,388693,390651,392370,394260,395921,397758,399024,400236,401253,402152,403078,403908,404654,405108,405884,406677,407831,408564,409535,410333,411434,412360,413230,414139,415087,416539,417676,418445,419067,419904,421211,422269,423305,424407,425712,427072,428536,429963,431589,433532,435181,436977,438245,440463,442707,445451,447882,450123,452081,453801,455483,457534,459996,462565,465113,467189,469047,470161,471236,472394,473958,475527,476735,477324,477678,478130,478733,479568,480426,481178,481390,480752,480060,479577,479999,480758,481745,482804,484104,485517,487279,489670,492875,497090
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,183929,184185,184205,184312,184286,184313,184413,184365,184252,184156,184134,184258,183931,183367,183038,183239,183759,184234,184850,185743,186748,187714,188614,189630,191313,193400,195349,196796,198146,199430,200438,201776,203445,205311,207116,208555,210281,211805,213451,214902,216369,218383,220554,222043,223166,224464,226368,228349,230025,231696,233611,235816,238118,240253,242356,244694,247029,249249,251343,253604,255772,258071,260239,262735,264989,267232,269181,271301,273567,276227,278719,281396,284138,287249,290537,294039,297564,301655,306393,311420,316321,321259,326670,332104,337056,341498,345981,350370,355178,359304,364551,370412,377180,383255,390259,397281,405661,414174,423243,433069,444129,455620,465400,473571,481633,489896,496878,503848,510340,518206,526019,533625,539863,546127,554275,563136,572672,581647,589044,595991,601750,606857,611304,615165,619724,622915,624201,625366,623762,623133,621811,621731,621039,619842,618030,616653,613819,611166,606230,599929,591701,583229,576707,569514,562123,551576,540170,526266,512398,500314,489865,480634,473554,466103,457251,445885,437562,433213,429993,426778,423950,421358,420187,420215,421197,422604,425188,429157,430258,428802,428535,430542,434223,433597,431430,427927,425134,422152,418027,415265,413869,413469,411416,408496,403381,401994,400947,400019,397285,394625,394249,393299,392108,390520,389805,389826,391434,393042,395682,398446,402274,407320,411516,417038,422428,430759,439669,449581,458224,466657,474081,482789,490466,496374,501442,504971,509102,509932,510385,509875,510363,510851,512403,512174,512665,513307,516154,518744,522144,526128,530283,532633,535148,537694,540376,543468,546690,550543,553167,557697,560170,563449,565245,569323,572846,576001,578713,582261,586120,589862,592639,594380,597969,600631,604264,606518,610218,613944,617440,620351,623254,626166,631103,636063,640236,644298,648303,652626,655982,659491,661457,661765,660802,661376,662015,661613,660487,657745,655266,654579,658017,662376,664249,664279,665085,667400,669151,671796,675183,680320,685503,689705,691229,692332,696613,703740,711361
394463,3,"Chicago, IL",Msa,IL,164647,164345,163946,163493,162886,162557,162077,162649,163471,165140,166456,167430,167717,167666,167828,167686,167859,167594,167289,164874,161908,157584,154244,151836,150959,150853,150793,150776,150716,150641,150973,152404,154479,157192,159503,161264,162076,162551,163041,163709,164276,165232,166250,167226,167862,168589,169485,170444,171657,172902,174168,175294,176408,177484,178522,179685,180958,182237,183561,184933,186270,187404,188562,189796,191202,192519,193690,194831,196027,197372,198683,199874,200920,202047,203342,204453,205640,206789,208258,209647,210973,212211,213288,214580,215845,217291,218562,219971,221127,222182,223154,224355,225771,227138,228541,229759,231239,232576,233954,235406,236972,238817,240522,242215,243640,245184,246885,248747,250418,252142,253832,255681,257525,259483,261408,263239,265256,267238,269034,270658,272089,273580,274802,276067,277116,277997,278612,279293,279772,280177,280371,280736,281286,282038,281805,281552,280350,279960,278817,278330,277178,276478,275609,274604,273693,270868,270107,266942,266195,262665,261284,257910,256115,252872,250272,246402,242334,239308,235943,233874,230841,228761,226923,225491,223448,221873,220399,220262,219633,219478,217771,217561,215956,215922,213116,211700,209406,208235,205793,203773,201714,200130,198728,196448,195039,192804,192423,191098,190490,188233,187224,185401,184478,182467,182098,181539,181547,180938,180059,179302,178666,179136,179851,180602,181571,182818,183654,184897,185829,187625,189304,191596,193540,195754,196884,198345,199136,200428,200985,201192,201675,202611,203602,204082,204758,205103,205805,206258,206707,206831,207492,208620,209631,209843,210047,210314,210702,210996,211388,212021,212779,214033,215027,215823,216412,217258,218385,219417,220252,221060,222089,223229,224536,225612,226955,228117,229171,229862,230385,231114,232009,233182,234272,235488,236667,237528,237993,238524,239302,240377,241087,241695,242195,242637,243059,243319,243400,243697,244071,244754,245443,246025,246377,246414,245994,245642,245289,245373,245631,246017,246628,247155,247719,248421,249650,251298,253512
394514,4,"Dallas-Fort Worth, TX",Msa,TX,114406,114471,114634,114962,115314,115568,115749,115975,116201,116545,116882,117220,117279,117374,117402,117573,117668,117868,118102,118360,118662,119008,119299,119661,120124,120583,120954,121065,121293,121548,121944,122301,122672,122593,122593,122503,123105,123896,124906,125880,126705,127561,128327,128860,129207,129908,130759,131579,131898,132234,132485,132734,132917,133092,133285,133589,134047,134514,134927,135323,135568,135392,135208,135109,135295,135315,135389,135607,135834,135989,136031,136181,136394,136827,137196,137701,138165,138881,139596,140209,140705,141152,141670,142220,142471,142489,142268,142183,142269,142523,142777,143014,143322,143753,144192,144520,145268,146654,148677,150302,151208,151556,151874,152352,152809,153312,153733,154248,155016,155261,155259,155062,155290,155723,156157,156584,156951,156896,157041,157023,157281,157766,158220,158683,159081,159518,159787,159863,159984,160636,161050,161494,161488,161421,161392,161538,161776,161956,162116,162491,163022,163360,163491,163505,162830,161788,160485,159606,158873,158344,158022,157542,156732,155751,154832,154142,154006,154339,154781,154868,154818,154580,154501,154395,154547,154705,155288,155605,155651,155416,155183,155312,155210,155164,154446,153717,152756,152052,151151,150663,150319,149754,149132,148197,147645,146983,146810,146814,147048,147125,147022,146692,146517,146963,147526,148156,148548,149067,149672,150208,150687,151122,151771,152502,153399,154037,154867,155756,156838,157923,159092,160247,161577,162906,164235,165424,166356,167374,168228,169092,169905,170887,171613,172662,173587,174853,176052,177372,178922,180406,182106,183756,185482,187183,188977,190535,192010,193388,194929,196637,198229,199831,201378,203117,205001,206793,208791,210506,212276,213940,215796,217697,219377,221126,222634,224358,225972,227648,229098,230607,232355,234302,236098,237621,239043,240730,242582,244311,245753,247152,248345,249450,250150,251136,252182,253641,254945,255807,256260,256605,257256,257749,258250,258636,259309,259667,260082,260294,260750,261428,262440,263584,264699,265992,267485,269183,270907
394974,5,"Philadelphia, PA",Msa,PA,121233,121078,120937,120693,120527,120432,120388,120365,120407,120494,120623,120730,120861,121029,121259,121512,121762,121997,122200,122358,122471,122555,122680,122857,123051,123250,123437,123584,123657,123707,123784,124030,124315,124660,124858,125062,125232,125477,125774,126136,126544,126958,127430,127806,128169,128493,129051,129730,130488,131224,131830,132440,133004,133608,134133,134645,135199,135841,136432,137042,137664,138396,139202,139989,140767,141525,142370,143200,144062,144905,145910,146800,147785,148737,149891,151079,152262,153495,154718,156183,157750,159456,161023,162765,164431,166184,167778,169472,171173,172875,174598,176272,178075,179888,181836,183562,185321,187156,189217,191335,193556,195896,198422,201102,203607,205854,207999,210438,213199,215677,217950,220089,222546,225190,227894,230570,233220,235983,238611,241100,243102,244980,246579,248234,249579,250823,251785,252577,253162,253512,253700,253720,253822,253874,254139,254182,254561,254684,254885,254609,254341,254116,253892,253540,252847,252375,251702,251079,249787,248348,246742,245351,243979,242468,240983,239534,238208,237023,236082,235217,234282,233330,232428,231842,231470,231532,231783,231921,232019,231689,231256,230853,230838,230942,230700,229858,228602,227037,225321,223813,222546,221611,220485,219033,217299,215630,214354,213488,212682,211936,211162,210517,209647,208748,208128,207860,207593,207100,206512,206105,205932,205862,205893,205923,206158,206374,206707,207201,207974,208897,209816,210569,211333,211964,212570,212947,213393,213861,214092,213868,213772,213853,214104,214065,214009,214109,214377,214778,215010,215210,215593,216184,216527,216601,216713,217096,217469,217606,217646,217612,217734,218009,218267,218683,219154,220000,220704,221404,221986,222723,223454,224372,225374,226177,226744,227213,227910,228604,229236,229937,230723,231796,232778,233749,234512,235590,237000,238405,239485,240232,240937,241488,242160,242755,243632,244360,245203,245858,246850,247525,248434,249027,249787,250237,250510,250831,251227,251872,252632,253576,254324,255509,256799,258666,260637,263126,265912
394692,6,"Houston, TX",Msa,TX,110773,110849,110858,111007,111148,111249,111287,111347,111515,111710,111982,112274,112238,112077,111937,112018,112111,112281,112513,112757,112919,113093,113335,113573,114236,114862,115508,115718,115974,116220,116521,116793,117072,117359,117384,117387,117509,118143,119033,119924,120722,121458,122200,122908,123460,123926,124441,125034,125555,125800,125848,125989,126046,126188,126282,126571,126898,127158,127615,128050,128254,128239,127864,127676,127650,127794,127933,127793,127867,128066,128288,128430,128578,128848,129403,130036,130620,131151,131635,132318,132860,133333,133687,134027,134443,134656,134751,134827,134938,135273,135472,135837,136056,136396,136699,137079,137605,138608,140069,141240,142428,142939,143916,144554,145486,146294,147056,147904,148619,149282,149571,149842,149803,150090,150139,150251,150184,150091,150249,150260,150531,150663,151003,151278,151808,152245,152769,153297,153949,154650,155216,155808,156305,156519,156537,156694,157047,157547,157771,158222,158612,158984,159248,159513,159311,158894,158337,157993,157413,156771,156271,155704,155117,154602,153847,152979,152337,152313,152355,152264,152221,152466,152940,153269,153347,153148,153311,153589,153785,153814,154068,154328,154381,153908,152882,151651,150750,150219,149983,149624,149133,148336,147204,146238,145448,145046,144873,144931,144953,144977,144415,144096,143989,144293,144677,144875,145208,145474,145967,146445,146868,147084,147689,148309,149156,150020,151395,153004,154543,155813,157040,158317,159695,161228,162747,164166,165501,166830,167792,168641,169461,170791,172280,174028,175730,177234,178586,179985,181340,182586,184010,185455,186830,187900,188646,189286,189936,190884,191611,192255,193104,193934,194468,194706,195264,195928,196756,197250,197700,198001,198794,199708,200218,200772,201424,202214,202676,203118,203546,203939,204365,204833,205384,205924,206523,207003,207591,208628,209757,210703,211405,212372,213306,214026,214471,215010,216106,217047,217598,217587,217897,218602,219450,220014,220109,220340,220613,221159,221359,221787,222530,223548,224420,225165,226007,227049,228576
395209,7,"Washington, DC",Msa,DC,178034,177811,177681,177407,177288,177137,176973,176866,176888,177023,177082,177150,176933,176808,176629,176726,176678,176753,176901,177024,176966,176874,176942,177022,177418,177787,178273,178452,178640,178750,178862,179047,179344,179547,179707,179991,180509,181276,182013,182746,183416,184197,184991,185699,186516,187433,188583,189621,190656,191562,192471,193372,194432,195572,196931,198414,199955,201628,203295,205225,207087,208931,210853,212983,215203,217368,219436,221562,223739,225961,228367,230793,233296,235665,238132,240710,243490,246378,249376,252542,255621,258691,261669,264760,267770,271073,274379,277585,280451,283312,286118,289009,292113,295851,299858,303770,307549,311816,316339,321201,326304,332112,338748,345660,352763,359003,364994,371002,377772,384109,390368,397128,404750,412349,419216,425452,431794,438173,443620,448452,452346,456138,459664,461867,463155,463381,463343,462733,460476,457873,455925,454691,453374,451840,450330,449161,447403,444616,441372,438045,435681,432582,428725,423640,418941,413939,408253,401830,394623,388292,382234,376987,371621,366770,362227,357954,352985,348427,344218,340797,338586,337220,336464,335587,334582,334078,334239,335130,336399,336746,337470,338263,339581,339611,339092,338203,337889,337267,335849,334473,333521,333767,333369,332894,331618,331163,330505,330273,329666,329204,329238,329153,328999,328959,329917,331076,332328,333671,335417,337017,338286,339931,341953,344433,347052,349141,350963,352776,355318,357693,360037,362535,365653,368382,370690,372164,373693,375161,376351,377315,377389,377428,377569,377738,377858,377795,377873,377993,377732,378212,378969,379414,379657,379937,380419,380707,380823,381340,381765,382507,383098,382859,382827,383588,385432,386796,387813,388587,389817,390772,391851,393210,395142,397484,398821,399615,399546,400264,401203,402833,404180,405682,407186,408040,408699,409242,410695,412343,414442,416180,417609,418173,418443,418770,419082,420281,421840,423692,425066,425973,427054,428033,428503,429162,429968,431383,432739,433952,435044,436124,437577,439632,441727,444179,447399,451030,455038
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,109403,109533,109670,109917,110132,110440,110750,111011,111121,111233,111392,111592,111504,111490,111497,111830,112124,112354,112562,112788,113038,113214,113387,113602,114364,114993,115537,115551,115680,115527,115448,115505,116114,116847,117410,117769,117828,117945,118077,118426,118827,119688,120466,121150,121238,121357,121650,122051,122586,123210,124004,124839,125515,126109,126691,127271,128020,128771,129688,130681,131707,132772,133961,135217,136655,138071,139689,141394,143277,145243,147059,148714,150254,151771,153158,154625,156082,157696,159345,161149,162829,164517,166206,168368,170554,172882,175171,177536,179735,181701,183531,185384,187502,189763,192294,194523,197130,199613,202282,204746,207648,210854,214300,217984,221791,225850,229883,234374,238677,243426,248262,253196,258397,263916,270271,276494,282635,288158,293188,297749,302501,306610,311195,316230,320916,324600,326724,328278,329268,329530,330208,330077,329902,328974,327409,324536,321205,317294,313471,309557,305584,302110,297497,292914,286778,280895,274249,268274,262231,256707,250668,244181,237423,230494,224075,218271,212988,208036,203065,198471,194040,190499,187473,185078,182914,181504,180264,178848,177915,177227,177053,176414,175721,174397,173221,171805,170534,168715,167144,165818,164389,163077,161755,160886,159958,159160,158370,157844,157452,157435,157553,157683,157920,157935,158225,158583,159437,160671,161892,163381,164949,166604,167924,169362,171230,173723,176404,179445,182243,184729,187312,189981,192833,195491,198806,201937,204869,206817,208791,209986,211608,213033,214929,216381,217683,219191,220024,221198,222105,223827,225142,226729,227974,229437,230501,231831,233461,234975,236844,238410,240276,241817,243367,244963,246588,248590,250589,252314,253644,254944,256492,258132,259666,261032,262151,263575,264939,266245,267413,269101,270811,272671,273554,274711,275457,277032,278844,280405,282148,283438,285066,286088,286951,287371,288845,290216,291608,291340,291488,291797,292320,293173,293951,294472,294610,295024,295548,295987,296648,298277,299596,300939,302132,303396,304694,306533,308911
394347,9,"Atlanta, GA",Msa,GA,120291,120519,120740,121229,121711,122234,122700,123162,123599,124073,124561,125086,125432,125819,126232,126800,127330,127769,128265,128846,129497,130122,130657,131207,132083,132951,133740,134190,134765,135414,136126,136761,137379,138008,138797,139521,140191,140829,141612,142490,143335,144221,145155,146040,146931,147793,148677,149535,150323,151193,152120,153195,154238,155260,156224,157261,158293,159380,160357,161415,162403,163344,164164,164920,165731,166493,167274,168025,168767,169453,170139,170801,171462,172129,172713,173295,173783,174291,174732,175123,175510,175920,176339,176664,177028,177342,177754,178037,178337,178622,178938,179280,179596,179891,180199,180573,180871,181193,181515,181995,182410,182751,183103,183558,184059,184583,185049,185512,186036,186601,187162,187692,188316,188994,189576,190120,190720,191390,192126,192773,193493,194109,194646,195039,195386,195831,196382,196901,197340,197686,198080,198545,199040,199512,200031,200389,200608,200555,200397,200059,199519,198894,198197,197660,196701,195536,193985,192745,191522,190208,188634,186931,185324,183546,181282,178308,175500,172880,170605,167979,165526,163429,162082,161010,160017,158841,158013,157646,157219,156646,155949,155758,155677,155273,153806,151801,149384,147409,145462,143989,142395,141091,139255,137276,134853,132714,131178,130537,130637,130723,130544,129658,129115,128586,129076,129653,130585,131526,132532,133036,133034,133184,134048,135349,136896,138586,140311,141951,143750,145652,147561,149738,152121,154453,156348,158283,159861,161311,162301,163318,164151,164901,165872,166718,167622,168389,169229,170025,170835,171604,172275,173070,174111,175342,176300,177286,178249,179167,180040,180778,181844,182895,184311,185678,186863,187685,188396,189218,189923,190980,192128,193614,194694,195900,197003,198204,199450,200937,202558,203960,205591,207070,208737,210388,212318,214162,215644,217049,218563,220279,221955,223536,225021,226572,227987,229133,230023,230819,232008,233269,234620,235453,236216,236963,237660,238300,238981,239908,241002,242232,243417,244626,245768,247242,248841,250642,252586
