MSA,Violent Crime,Murder,Murder Rate,Population 2019 (DO NOT USE),Population 2010 (DO NOT USE),Population 10 year CAGR,Median income (dollars),Mean income (dollars),City,State,Population,Density,Zip Code,lat_x,lon,% Sale Price Change Since Feb,Avg Sale Price Last 12M,Sale Price Last,Sale Pr CAGR GFC,Sale Pr Standard Deviation,Unnamed: 0,Unnamed: 1,1 Year Avg Return,3 Year Avg Return,5 Year Avg Return,lat_y,lng,population,firstzip,% Rent Change Since Feb,2019 Annualized Rent,Avg Monthly Rent 2019,Avg Monthly Rent Last 12M,Last 12M Annualized Rent,Monthly Rent Last,Rent CAGR since 2014-01,Rent Standard Deviation,Affordability Rent/Median Inc,Affordability Rent/Avg Inc,Capitalization Rate Last
"Chicago, IL",24663.0,478.0,17.51753127,9458539.0,9470634.0,-0.00014198123351794045,75379.0,104357.0,Chicago,IL,8604203.0,4574.0,60018,41.8373,-87.6862,0.0304653743440495,247694.58333333334,253512.0,0.044707171269290136,0.022277970435855336,Chicago,IL,0.016517570327387432,0.017923746792847917,0.017926913527754662,41.8373,-87.6862,8604203.0,60018.0,-0.003939223410241999,21155.0,1762.9166666666667,1775.0833333333333,21301.0,1770.0,0.022398336977017763,0.006431096114069801,0.28064845646665515,0.20271759441149131,0.08378301618858279
"New York, NY",50088.0,352.0,4.116544521000001,19216182.0,18923407.0,0.0017073575623094417,83160.0,122967.0,New York,NY,18713220.0,10715.0,11229,40.6943,-73.9249,0.03185295125014265,485123.1666666667,497090.0,0.03659292911239098,0.018566379426754702,New York,NY,0.03672077429711696,0.03912856529305775,0.04068894432783377,40.6943,-73.9249,18713220.0,11229.0,-0.022710349962769882,32189.0,2682.4166666666665,2670.9166666666665,32051.0,2625.0,0.020289961255261613,0.0053596520799567785,0.38707311207311207,0.2617694178112827,0.06336880645355972
"Baltimore, MD",9542.0,344.0,55.37205514,2800053.0,2715738.0,0.0034029553861820716,83160.0,110712.0,Baltimore,MD,2106068.0,2830.0,21218,39.3051,-76.6144,0.03660940200600393,299185.0,307675.0,0.024738105553371748,0.020537527524587575,Baltimore,MD,0.02925850152900389,0.030779520242053767,0.031359810351277106,39.3051,-76.6144,2106068.0,21218.0,0.0024009603841537164,19856.0,1654.6666666666667,1666.6666666666667,20000.0,1670.0,0.014117059675354371,0.005928673522404992,0.23876863876863877,0.17934821880193655,0.06513366376858698
"Houston, TX",21994.0,303.0,13.31738763,7066141.0,5947236.0,0.019338833228042196,69193.0,99137.0,Houston,TX,5464251.0,1399.0,77069,29.7863,-95.3889,0.030610450567436276,223546.08333333334,228576.0,0.0547701816590751,0.011376580670150092,Houston,TX,0.02737094306910315,0.029160768219586464,0.029788839174319962,29.7863,-95.3889,5464251.0,77069.0,-0.0013468013468013185,17720.0,1476.6666666666667,1484.5833333333333,17815.0,1483.0,0.02328852951096061,0.0032841359561843245,0.2560952697527207,0.17874254819088736,0.07785594288114238
"Detroit, MI",11846.0,295.0,43.81893126,4319629.0,4291508.0,0.0007259670103687554,63474.0,86808.0,Detroit,MI,3506126.0,1864.0,48209,42.3834,-83.1024,0.04088798888398193,187385.83333333334,193270.0,0.08607508189076785,0.028537757937464957,Detroit,MI,0.0232624129047454,0.024894332551426143,0.025919193693451303,42.3834,-83.1024,3506126.0,48209.0,0.016155088852988664,14619.0,1218.25,1242.75,14913.0,1258.0,0.03180644158459622,0.008238141113631886,0.23031477455336044,0.16840613768316284,0.0781083458374295
"Los Angeles, CA",25156.0,282.0,7.116313366,13214799.0,12838417.0,0.0032157521277638157,77774.0,109583.0,Los Angeles,CA,12750807.0,3276.0,90291,34.1139,-118.4068,0.045627057855126996,686194.4166666666,711361.0,0.07333286863074395,0.0312220121150332,,,,,,,,,,0.0,30186.0,2515.5,2544.1666666666665,30530.0,2545.0,0.04841054976435211,0.009013018549628087,0.388124566050351,0.275462434866722,0.042931788501197
"Philadelphia, PA",16132.0,280.0,17.85930693,6102434.0,5970899.0,0.002424067273292918,74533.0,104703.0,Philadelphia,PA,5649300.0,4554.0,19154,40.0077,-75.1339,0.048648137047670126,256259.25,265912.0,0.03286006042267409,0.01621049111442602,Philadelphia,PA,0.02948996605974319,0.031618460869003995,0.03258563411624027,40.0077,-75.1339,5649300.0,19154.0,0.00811485642946308,18942.0,1578.5,1604.8333333333333,19258.0,1615.0,0.02566071978263018,0.00467956570430495,0.2541424603866744,0.18091172172717115,0.07288125394867474
"St. Louis, MO",5762.0,188.0,59.28822593,,,,66417.0,90098.0,St. Louis,MO,2024074.0,1879.0,63110,38.6358,-90.2451,0.04891745076039511,181993.33333333334,188845.0,0.03729700557155646,0.012085701456539887,St. Louis,MO,0.025101261483482462,0.026953749213297185,0.027824475458861242,38.6358,-90.2451,2024074.0,63110.0,0.019730941704035887,13102.0,1091.8333333333333,1119.5833333333333,13435.0,1137.0,0.02683374993004284,0.003488841494639378,0.1972687715494527,0.14541943217385514,0.07224972861341311
"New Orleans, LA",3736.0,164.0,41.68286961,1270530.0,1195324.0,0.0068026847361695175,55710.0,78752.0,New Orleans,LA,1020886.0,889.0,70139,30.0687,-89.9288,0.03746472633413922,208895.41666666666,215442.0,0.02981419471030944,0.013580328100267006,New Orleans,LA,0.03221159370134763,0.03447991427867758,0.035125877924957694,30.0687,-89.9288,1020886.0,70139.0,0.0056617126680820196,16734.0,1394.5,1414.5,16974.0,1421.0,0.024785616468837368,0.003920303042186298,0.3003769520732364,0.2124898415278342,0.07914891246832094
"Washington, DC",8084.0,162.0,24.09896642,6280487.0,5678491.0,0.011258684686713316,105659.0,138388.0,Washington,DC,5379184.0,4457.0,20010,38.9047,-77.0163,0.04336839981289731,440485.3333333333,455038.0,0.03852324231047155,0.024123788896670797,Washington,DC,0.03566686893956361,0.03723670784177013,0.03894345668407007,38.9047,-77.0163,5379184.0,20010.0,-0.006597549481621057,25314.0,2109.5,2118.4166666666665,25421.0,2108.0,0.016267410430220952,0.006963938006683296,0.23958205169460245,0.18292048443506662,0.055590961633973424
