,,1 Year Avg Return,3 Year Avg Return,5 Year Avg Return,lat,lng,population,firstzip
Cullman,AL,0.029739266306457957,0.03206214877220903,0.03307670377672678,34.1777,-86.8407,19920.0,35058
Gallup,NM,0.003837754221496903,0.0042579479760762595,0.0044556100208041904,35.5183,-108.7423,22917.0,87301
Niles,MI,0.023459506436665167,0.02540426559369746,0.026323305230737226,41.8346,-86.2473,11149.0,49120
Dodge City,KS,0.018782960293166173,0.020161303597960423,0.020853819588029676,37.761,-100.0183,27080.0,67801
Coffeyville,KS,-0.002472553312869552,-0.0018186603803145296,-0.0016172934726628174,37.0518,-95.618,9827.0,67337
Bay City,MI,0.02227570817351321,0.023368767528511913,0.024231396739780253,43.5903,-83.8886,66107.0,48706
Statesboro,GA,0.022697489044677388,0.02411359102558852,0.02493583601203464,32.4376,-81.775,42102.0,30460
Shawano,WI,0.013292768528711862,0.013935945488770196,0.01430397001262107,44.7748,-88.5843,10107.0,54166
Kapaa,HI,0.03718968291082647,0.03944500905907322,0.04063158327890193,22.091,-159.352,10544.0,96746
Heber,UT,0.0413025425527469,0.04411508169605538,0.04514319128467181,40.5068,-111.3984,25877.0,84032
Ardmore,OK,0.03280459259748891,0.034848614813454803,0.035914713863105296,34.1944,-97.1253,21245.0,73401
Santa Fe,NM,0.02387333732911423,0.025303627153583363,0.026049833546933243,35.6619,-105.9819,111269.0,87505
Killeen,TX,0.01647798478162099,0.017676004322625394,0.01809452545081669,31.0754,-97.7296,258009.0,76541
Dayton,TN,0.03174671855310218,0.033836043278953065,0.03457825246879165,35.4912,-85.012,10410.0,37321
Kalamazoo,MI,0.025983214848968483,0.02717558577412471,0.027793439772499928,42.2749,-85.5882,215193.0,49001
State College,PA,0.033492978646749716,0.034644757897712486,0.035562485032911706,40.7909,-77.8568,87723.0,16802
Huntington,IN,0.012745618362542732,0.013362412873251461,0.01368991723508639,40.8815,-85.5053,17942.0,46750
Idaho Falls,ID,0.03668915650548854,0.03967373816822817,0.04075694169218225,43.4872,-112.0362,100442.0,83401
Jackson,OH,0.024719494665879083,0.026026145911847598,0.02671285718348826,39.046,-82.6492,11462.0,45640
Point Pleasant,WV,0.026022773197859728,0.02803780681201995,0.028831885470784746,38.8529,-82.1303,10473.0,25550
Gulfport,MS,0.006264560425509158,0.007345611531911045,0.007693784959141414,30.4271,-89.0703,220987.0,39501
Kingsville,TX,0.02519686969682655,0.026994630011125897,0.0278611649504521,27.5094,-97.8611,25120.0,78363
Ogden,UT,0.03334895719648623,0.03612174770850651,0.037113630312316515,41.2278,-111.9682,578523.0,84404
Starkville,MS,0.019851620316440277,0.020285238537573358,0.02109261940304652,33.4608,-88.8297,32546.0,39759
Bluefield,WV,0.02158260417120994,0.02322752128875072,0.023990523335093883,37.2608,-81.2143,40640.0,24701
Parsons,KS,0.0189601561896815,0.019705066810076666,0.020684322142548117,37.3405,-95.2959,9294.0,67335
Forest City,NC,0.022698741831883362,0.02434296686373094,0.02502509382971896,35.3338,-81.8702,25311.0,28043
Sikeston,MO,0.02853029776360727,0.030161256545323978,0.030987775839329323,36.8865,-89.587,16237.0,63801
Wenatchee,WA,0.04541778561040344,0.048342890363570534,0.04990544355025861,47.4356,-120.3283,72350.0,98801
Cedar Rapids,IA,0.019769260583744952,0.020924598176510933,0.02147009671705047,41.9665,-91.6782,188038.0,52404
Augusta,ME,0.03458547098215736,0.036865107932346985,0.038008078529987,44.3341,-69.7319,22116.0,04330
Brenham,TX,0.03205751835644066,0.03395973423341614,0.03504668213073692,30.1585,-96.3964,17823.0,77833
Chillicothe,OH,0.02815226018625494,0.02973799029624402,0.0305853648829586,39.3393,-82.9937,31999.0,45601
Jackson,MS,0.017555077965046628,0.01856016137411509,0.019195712017077593,32.3163,-90.2124,325350.0,39272
Mount Vernon,IL,0.015598346695038012,0.016849235339556623,0.017257745435012906,38.314,-88.9174,15427.0,62864
Richmond,KY,0.029294510564766618,0.03111205979438547,0.03195581949855786,37.7306,-84.2926,40972.0,40475
Indianola,MS,0.023031024684618817,0.02399483566613303,0.02462448350046209,33.4492,-90.6447,8804.0,38751
Hood River,OR,0.04771177924568515,0.05101346493316594,0.052353612958525364,45.7092,-121.5258,15949.0,97031
North Platte,NE,0.028566309743604412,0.030438373137778862,0.031433771526608645,41.1266,-100.764,24098.0,69101
Kalispell,MT,0.030462483095332837,0.03275469121245522,0.03359081494612681,48.2156,-114.3262,39182.0,59901
St. George,UT,0.03478313500735819,0.03716852034443763,0.03769116733570388,37.077,-113.577,120899.0,84770
Syracuse,NY,0.02488460410663884,0.025807596590556647,0.02651225108079669,43.0409,-76.1438,404223.0,13210
Lexington,NE,0.02420220757218816,0.025698575488828368,0.026466274362050735,40.7779,-99.7461,10345.0,68850
Jefferson,GA,0.0363111390950257,0.037968415590030835,0.03923997342662955,34.1373,-83.6021,13322.0,30549
Cornelia,GA,0.015688303861313146,0.01690864901748923,0.017419989551111792,34.517,-83.531,20913.0,30531
Ottawa,IL,-1.9501754530137916e-06,-0.0002277623064698142,-0.00022293892302749363,41.3532,-88.8306,19839.0,61350
Bloomsburg,PA,0.029677336762019113,0.03147338446608283,0.0325270180542534,41.0027,-76.4561,49840.0,17815
Baton Rouge,LA,0.022562598928171695,0.023622347962304557,0.024195031539979706,30.4418,-91.131,570308.0,70836
Longview,WA,0.047093781571979854,0.04965944219530383,0.050908862747793604,46.1461,-122.9629,67081.0,98632
Houston,TX,0.02737094306910315,0.029160768219586464,0.02978883917431996,29.7863,-95.3889,5464251.0,77069
Fairmont,WV,0.029767261681144186,0.031218705071407893,0.03221090318252484,39.4768,-80.1491,32847.0,26554
Terre Haute,IN,0.012242009486724825,0.012998179976582369,0.013520754747109676,39.4654,-87.3763,92490.0,47804
Fort Myers,FL,0.029373649816683223,0.02950730865008211,0.03018508507799056,26.6195,-81.8303,87103.0,33913
Topeka,KS,0.023100519234325878,0.024660383138883635,0.02551375526209254,39.0346,-95.6955,147458.0,66621
Grand Island,NE,0.03452362852954294,0.036699969077264694,0.0376906335614422,40.9214,-98.3584,53296.0,68803
Jacksonville,TX,0.023912797757093207,0.025477585236300726,0.02620025999013853,31.9642,-95.2617,14337.0,75766
Mobile,AL,0.022685875231080344,0.023644077552280374,0.024362543231603917,30.6783,-88.1162,315502.0,36606
Waycross,GA,0.03102203083685806,0.03270867364117547,0.03368804895060529,31.2108,-82.3579,23671.0,31501
Rock Springs,WY,0.006313253358355864,0.007065880692668447,0.007412008348641308,41.5951,-109.2238,25913.0,82901
Sheboygan,WI,0.010136183546771038,0.010953046260102406,0.011770616302221981,43.7403,-87.7316,69393.0,53083
Bemidji,MN,0.03247124130453494,0.0348998272104295,0.035822657832262905,47.4828,-94.8796,16807.0,56601
Susanville,CA,0.030001183134710452,0.03189899922318862,0.033198435236088564,40.4205,-120.6129,8602.0,96130
Mountain Home,AR,0.02715299090550749,0.0289727429491613,0.029807759797431777,36.3348,-92.3846,14317.0,72653
Weatherford,OK,0.021332683464990065,0.02227059093666961,0.02275266089381045,35.5384,-98.6872,11883.0,73096
Salinas,CA,0.04995653469535655,0.05224880239473184,0.053375031958265096,36.6884,-121.6317,190972.0,93901
Mount Sterling,KY,0.025030362742321177,0.026261072158350718,0.027078266381632687,38.0648,-83.9472,11363.0,40353
Platteville,WI,0.020156333410613403,0.02094659865854709,0.021546451463107186,42.728,-90.4676,12100.0,53818
Morehead City,NC,0.0293385089444389,0.030623881487088944,0.03242870654411956,34.7308,-76.7387,49760.0,28557
Eau Claire,WI,0.026722233713685206,0.028849895777410373,0.029794842316291925,44.8199,-91.4949,107404.0,54703
Harrison,AR,0.022985251420164943,0.024407362227105933,0.025174046266086103,36.2438,-93.1198,14097.0,72601
West Plains,MO,0.01855143022734973,0.019826356904142584,0.02025295548248418,36.7378,-91.868,11540.0,65775
Miami,OK,0.03733794844624061,0.03957414504764878,0.040744915554194794,36.8877,-94.8718,15571.0,74354
Huntsville,TX,0.03537081213553894,0.03746332396105845,0.03868887673868193,30.705,-95.5544,40466.0,77340
El Dorado,AR,0.02296952805895791,0.02475383681942489,0.025418507689604075,33.2184,-92.664,17706.0,71730
Waterloo,IA,0.021865841939389785,0.023111453972875617,0.02389340959697539,42.492,-92.3522,111631.0,50707
Marion,IN,0.006882732122383217,0.00763470198044236,0.0076414723493034575,40.5496,-85.66,40588.0,46953
Crawfordsville,IN,0.019967605569627622,0.021314909808036298,0.021847813225824186,40.0428,-86.8975,18242.0,47933
Elkhart,IN,0.034417118965481164,0.03672153668787459,0.03759197448679208,41.6916,-85.9628,147567.0,46514
Lubbock,TX,0.028928668239464717,0.030667583584066405,0.03163335112998089,33.5659,-101.8878,267648.0,79406
Fayetteville,AR,0.028588269711765868,0.030357537189927175,0.03149811850225692,36.0713,-94.166,351246.0,72704
Chicago,IL,0.016517570327387432,0.017923746792847917,0.017926913527754662,41.8373,-87.6862,8604203.0,60018
Manhattan,KS,0.02051913602858879,0.02156371303925453,0.022133318351183817,39.1886,-96.6046,57046.0,66506
Gardnerville Ranchos,NV,0.03603598044872647,0.038206116454266414,0.039661790786785556,38.8872,-119.7426,11274.0,89460
Torrington,CT,0.02434025399851314,0.024794737928641064,0.02592776166625721,41.8349,-73.1281,40003.0,06790
Toledo,OH,0.020007050351353195,0.020773045331504036,0.021524304078041068,41.6639,-83.5822,482111.0,43615
Oxford,NC,0.02460782238360304,0.026398546898893427,0.027244898841727982,36.3155,-78.5848,9634.0,27565
Rapid City,SD,0.026082040406876894,0.027754591594878253,0.02854630493286403,44.0716,-103.2204,92664.0,57702
Clarksville,TN,0.025179034957054203,0.026635099001641738,0.027333333171293273,36.5695,-87.342,188746.0,42223
Gloversville,NY,0.03457962255605307,0.03683488942562385,0.03801670956321468,43.0491,-74.3465,27512.0,12078
Wooster,OH,0.02049692522684432,0.02162104893340988,0.022476240532724123,40.8171,-81.9335,30750.0,44691
Calhoun,GA,0.019350162849647745,0.019714865062393505,0.020327370935131484,34.4918,-84.9391,34754.0,30701
Atchison,KS,0.011459327306582834,0.012597660427207114,0.012861014888896127,39.5625,-95.1367,10613.0,66002
Indiana,PA,0.024008415665977,0.025244472342148105,0.025653694388311887,40.622,-79.1552,27142.0,15701
Urbana,OH,0.021809721953669925,0.023213032286031776,0.02378180618368697,40.1085,-83.7542,11313.0,43078
Fort Madison,IA,0.01976887870658195,0.020885328266200043,0.021426141606588844,40.6207,-91.3509,10130.0,52627
Troy,AL,0.027338114978953776,0.029112103429151714,0.029986499016631418,31.8021,-85.9665,16712.0,36079
Vermillion,SD,0.031480276244506555,0.03330881199317681,0.03418908497418438,42.7811,-96.9255,10844.0,57069
Roanoke Rapids,NC,0.021693218611472442,0.02302951918140761,0.023253870069673388,36.4452,-77.6491,22225.0,27870
Vernal,UT,0.039813874844681685,0.042420781345699154,0.0436867904261502,40.4517,-109.5379,19893.0,84078
Yuma,AZ,0.022954409827417033,0.023000506525698627,0.023433606571574783,32.5992,-114.5488,142847.0,85365
Kirksville,MO,0.01727361060015231,0.018742357620353367,0.019431781521475955,40.1986,-92.5753,16002.0,63501
Lima,OH,0.016380557364172432,0.017334750247030017,0.0177798587749749,40.741,-84.1121,68878.0,45805
Lexington,KY,0.026052104202479498,0.027455323675439347,0.028247452292160302,38.0423,-84.4587,317110.0,40505
Emporia,KS,0.01214711708408478,0.012471766558249664,0.012842047295153813,38.4028,-96.1924,24513.0,66801
Bowling Green,KY,0.029144099952601366,0.030945100857601604,0.032036502651657806,36.9719,-86.4373,95135.0,42104
Vicksburg,MS,0.008296787543814466,0.008792912670734676,0.009157490145311531,32.3173,-90.8868,26340.0,39180
Port Angeles,WA,0.04564512431166046,0.048241810921917594,0.04935286498178315,48.1142,-123.4565,24293.0,98363
Iron Mountain,MI,0.018349816461328716,0.019546694762231365,0.020146791092368943,45.8275,-88.0599,18432.0,49801
Portsmouth,OH,0.020614059667874107,0.02177996847312591,0.02258459518655731,38.7539,-82.9446,36111.0,45662
Lincoln,IL,0.014220464485441342,0.015334130608651186,0.015858704458747264,40.1508,-89.3721,16993.0,62656
Wichita Falls,TX,0.012095194399979192,0.013224584765848313,0.013736315692113088,33.9072,-98.5291,99557.0,76308
Manchester,NH,0.03889957608041339,0.0417359724886226,0.04307350135001786,42.9848,-71.4447,162877.0,03109
Jacksonville,FL,0.03487778907297967,0.03667036722625672,0.037349952087305516,30.3322,-81.6749,1181496.0,32224
Helena,MT,0.0340040645321964,0.0359166998588023,0.03673512536284029,46.5965,-112.0202,52936.0,59601
Othello,WA,0.041047785006334436,0.04334449056572853,0.04518522229762412,46.8221,-119.1652,12761.0,99344
Winston-Salem,NC,0.02378786388237364,0.02532277120889903,0.025992190914490454,36.1029,-80.2611,422269.0,27110
