table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,"308,745,538","308,758,105","309,321,666","311,556,874","313,830,990","315,993,715","318,301,008","320,635,163","322,941,311","324,985,539","326,687,501","328,239,523"
In Metropolitan Statistical Area,"263,096,669","263,107,172","263,659,728","265,915,286","268,257,389","270,477,083","272,833,441","275,213,195","277,549,076","279,600,181","281,282,516","282,828,515"
".Abilene, TX Metro Area","165,252","165,252","165,585","166,634","167,442","167,473","168,342","169,688","170,017","170,429","171,150","172,060"
".Akron, OH Metro Area","703,200","703,196","703,031","703,200","702,109","703,621","704,908","704,382","703,524","703,987","703,855","703,479"
".Albany, GA Metro Area","153,857","154,033","154,145","154,545","153,976","152,667","151,949","150,387","149,137","148,090","147,840","146,726"
".Albany-Lebanon, OR Metro Area","116,672","116,681","116,891","118,164","118,273","118,405","119,042","120,236","122,769","125,035","127,451","129,749"
".Albany-Schenectady-Troy, NY Metro Area","870,716","870,713","871,082","872,778","874,698","877,065","878,113","879,085","879,792","882,158","882,263","880,381"
".Albuquerque, NM Metro Area","887,077","887,063","889,558","898,016","901,939","904,953","904,538","906,026","909,237","912,311","914,947","918,018"
".Alexandria, LA Metro Area","153,922","153,918","154,096","154,402","154,400","154,623","154,558","154,082","154,124","153,549","152,762","152,037"
".Allentown-Bethlehem-Easton, PA-NJ Metro Area","821,173","821,273","821,923","824,930","826,144","825,731","828,470","830,295","833,163","837,921","842,626","844,052"
".Altoona, PA Metro Area","127,089","127,117","127,045","126,970","126,544","125,836","125,274","124,596","123,708","123,147","122,503","121,829"
".Amarillo, TX Metro Area","251,933","251,935","252,664","255,975","257,802","258,896","260,812","261,618","262,987","264,331","264,406","265,053"
".Ames, IA Metro Area","115,848","115,850","115,925","117,424","118,139","120,161","122,092","123,079","123,309","123,721","123,093","123,351"
".Anchorage, AK Metro Area","380,821","380,821","383,053","387,922","391,932","397,022","397,996","398,609","401,368","400,570","397,636","396,317"
".Ann Arbor, MI Metro Area","344,791","345,163","345,717","349,753","352,303","356,040","360,021","362,975","366,135","368,807","369,483","367,601"
".Anniston-Oxford, AL Metro Area","118,572","118,526","118,408","117,744","117,190","116,471","115,917","115,469","114,973","114,710","114,331","113,605"
".Appleton, WI Metro Area","225,666","225,667","225,948","227,548","228,656","229,978","231,627","233,146","234,200","235,811","237,011","237,974"
".Asheville, NC Metro Area","424,858","424,863","425,338","428,113","430,945","435,795","439,661","444,593","450,310","454,855","459,314","462,680"
