RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
102001,United States,0,1354,1360,1366,1372,1378,1383,1389,1395,1401,1407,1413,1419,1424,1430,1435,1441,1446,1452,1457,1463,1468,1474,1479,1484,1489,1494,1499,1504,1508,1513,1517,1521,1525,1529,1533,1538,1542,1545,1549,1553,1557,1560,1564,1568,1572,1576,1581,1585,1589,1594,1599,1604,1609,1614,1619,1624,1629,1634,1639,1644,1649,1654,1659,1664,1669,1674,1679,1684,1688,1693,1695,1698,1700,1702,1704,1706,1707,1709,1710,1711,1712
394913,"New York, NY",1,2296,2307,2318,2329,2339,2350,2360,2371,2381,2392,2402,2412,2422,2431,2440,2449,2458,2466,2475,2483,2490,2497,2503,2509,2515,2520,2524,2529,2533,2537,2541,2545,2548,2552,2556,2559,2563,2567,2571,2574,2577,2580,2583,2585,2587,2589,2592,2595,2598,2601,2605,2608,2612,2617,2621,2626,2631,2636,2642,2647,2653,2659,2665,2670,2676,2682,2688,2694,2699,2704,2701,2698,2694,2686,2678,2671,2662,2653,2644,2635,2625
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1857,1870,1884,1897,1910,1923,1937,1950,1963,1976,1988,2000,2012,2023,2035,2046,2058,2069,2081,2093,2105,2117,2129,2141,2153,2164,2176,2187,2198,2208,2219,2229,2239,2249,2258,2268,2278,2287,2296,2306,2314,2323,2332,2340,2348,2356,2364,2372,2380,2388,2397,2405,2414,2423,2432,2440,2448,2456,2464,2472,2480,2487,2494,2501,2507,2514,2521,2527,2533,2539,2541,2542,2544,2545,2545,2546,2546,2546,2546,2545,2545
394463,"Chicago, IL",3,1527,1532,1537,1542,1546,1551,1555,1560,1564,1568,1572,1576,1580,1584,1588,1592,1596,1600,1605,1610,1615,1620,1625,1631,1636,1641,1645,1649,1652,1656,1659,1662,1665,1667,1670,1673,1675,1678,1680,1683,1685,1688,1690,1692,1695,1697,1700,1702,1705,1708,1710,1713,1716,1719,1722,1725,1728,1732,1735,1739,1742,1746,1750,1754,1758,1763,1767,1770,1773,1777,1777,1778,1778,1777,1776,1776,1775,1774,1772,1771,1770
394514,"Dallas-Fort Worth, TX",4,1222,1228,1234,1240,1245,1251,1257,1263,1268,1274,1280,1286,1292,1297,1303,1309,1314,1319,1325,1330,1335,1341,1346,1352,1357,1363,1369,1375,1380,1386,1392,1397,1402,1408,1412,1417,1422,1426,1430,1435,1439,1443,1447,1451,1455,1459,1463,1467,1470,1474,1478,1481,1485,1489,1493,1498,1502,1506,1511,1515,1520,1524,1529,1533,1537,1541,1546,1549,1553,1556,1558,1560,1562,1563,1564,1566,1567,1568,1570,1571,1572
394974,"Philadelphia, PA",5,1364,1367,1369,1372,1374,1377,1379,1382,1384,1387,1390,1393,1396,1399,1402,1405,1408,1412,1415,1419,1423,1427,1430,1434,1438,1441,1445,1448,1452,1455,1459,1462,1465,1469,1471,1474,1477,1479,1481,1483,1485,1487,1489,1491,1493,1496,1499,1502,1505,1509,1512,1516,1521,1525,1530,1534,1539,1543,1548,1552,1556,1560,1565,1569,1573,1577,1581,1585,1589,1593,1596,1598,1600,1602,1604,1606,1608,1610,1612,1614,1615
394692,"Houston, TX",6,1272,1282,1292,1302,1311,1321,1330,1339,1349,1358,1364,1371,1378,1381,1385,1389,1393,1396,1399,1401,1403,1406,1407,1408,1409,1410,1410,1411,1411,1411,1411,1410,1410,1409,1408,1408,1407,1407,1408,1408,1410,1413,1415,1419,1423,1427,1431,1436,1440,1444,1448,1452,1454,1456,1458,1459,1461,1462,1463,1465,1466,1468,1470,1472,1474,1476,1478,1480,1482,1484,1485,1485,1485,1485,1485,1485,1485,1485,1484,1484,1483
395209,"Washington, DC",7,1893,1897,1901,1905,1909,1912,1916,1920,1924,1927,1930,1934,1937,1939,1942,1944,1947,1951,1954,1958,1962,1966,1969,1972,1976,1978,1981,1984,1986,1988,1991,1993,1995,1998,2001,2004,2007,2010,2013,2016,2018,2019,2021,2023,2024,2026,2028,2030,2032,2036,2040,2043,2048,2053,2057,2062,2068,2073,2078,2083,2087,2092,2096,2101,2105,2109,2114,2117,2121,2124,2124,2124,2124,2122,2120,2119,2117,2115,2113,2111,2108
394856,"Miami-Fort Lauderdale, FL",8,1571,1578,1586,1594,1602,1610,1617,1625,1633,1641,1649,1657,1664,1672,1680,1688,1695,1703,1711,1718,1726,1733,1740,1747,1753,1758,1764,1769,1773,1776,1780,1783,1786,1788,1791,1793,1795,1798,1800,1803,1805,1808,1811,1814,1817,1820,1824,1828,1832,1836,1840,1845,1849,1854,1859,1863,1867,1871,1875,1879,1883,1886,1890,1893,1897,1901,1905,1909,1913,1918,1920,1923,1926,1929,1931,1933,1936,1938,1940,1942,1944
394347,"Atlanta, GA",9,1139,1144,1148,1152,1157,1161,1166,1171,1175,1180,1185,1190,1195,1200,1205,1211,1216,1221,1227,1232,1238,1244,1250,1256,1262,1268,1275,1281,1288,1294,1301,1307,1313,1319,1324,1330,1336,1341,1347,1352,1358,1364,1369,1375,1381,1387,1393,1399,1405,1412,1418,1425,1432,1439,1447,1454,1462,1469,1476,1483,1490,1496,1502,1509,1514,1519,1525,1529,1534,1539,1543,1547,1551,1555,1559,1564,1568,1572,1576,1580,1584
